#datum,kommune,faelle,genesen,verstorben,current
2020-03-09,Samtgemeinde Dörpen,0,0,0,0
2020-03-09,Einheitsgemeinde Emsbüren,0,0,0,0
2020-03-09,Samtgemeinde Freren,0,0,0,0
2020-03-09,Einheitsgemeinde Geeste,0,0,0,0
2020-03-09,Stadt Haren (Ems),0,0,0,0
2020-03-09,Stadt Haselünne,0,0,0,0
2020-03-09,Samtgemeinde Herzlake,0,0,0,0
2020-03-09,Samtgemeinde Lathen,0,0,0,0
2020-03-09,Samtgemeinde Lengerich,0,0,0,0
2020-03-09,Stadt Lingen (Ems),0,0,0,0
2020-03-09,Stadt Meppen,0,0,0,0
2020-03-09,Samtgemeinde Nordhümmling,0,0,0,0
2020-03-09,Stadt Papenburg,0,0,0,0
2020-03-09,Einheitsgemeinde Rhede (Ems),0,0,0,0
2020-03-09,Einheitsgemeinde Salzbergen,0,0,0,0
2020-03-09,Samtgemeinde Sögel,0,0,0,0
2020-03-09,Samtgemeinde Spelle,0,0,0,0
2020-03-09,Einheitsgemeinde Twist,0,0,0,0
2020-03-09,Samtgemeinde Werlte,0,0,0,0
2020-03-09,Gesamt,0,0,0,0
2020-03-10,Samtgemeinde Dörpen,0,0,0,0
2020-03-10,Einheitsgemeinde Emsbüren,0,0,0,0
2020-03-10,Samtgemeinde Freren,0,0,0,0
2020-03-10,Einheitsgemeinde Geeste,0,0,0,0
2020-03-10,Stadt Haren (Ems),0,0,0,0
2020-03-10,Stadt Haselünne,0,0,0,0
2020-03-10,Samtgemeinde Herzlake,0,0,0,0
2020-03-10,Samtgemeinde Lathen,0,0,0,0
2020-03-10,Samtgemeinde Lengerich,0,0,0,0
2020-03-10,Stadt Lingen (Ems),0,0,0,0
2020-03-10,Stadt Meppen,0,0,0,0
2020-03-10,Samtgemeinde Nordhümmling,0,0,0,0
2020-03-10,Stadt Papenburg,0,0,0,0
2020-03-10,Einheitsgemeinde Rhede (Ems),0,0,0,0
2020-03-10,Einheitsgemeinde Salzbergen,0,0,0,0
2020-03-10,Samtgemeinde Sögel,0,0,0,0
2020-03-10,Samtgemeinde Spelle,0,0,0,0
2020-03-10,Einheitsgemeinde Twist,0,0,0,0
